2020-02-11/21:44:00		Error while creating table: no such column: F 
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:24		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:25		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:26		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:27		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:28		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:29		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:30		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:31		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:32		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:33		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:34		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:35		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:23:36		 hypothyroid_21012019_034556.csv: File loaded successfully!!
